CSCO,200802041002,[24.46:1.0],[24.4:1.0],[24.39:1.0],[24.37:1.0],[24.4:1.0],[24.43:1.0],[24.44:1.0],[24.4:1.0],[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],Prob:1.0
MSFT,200802041002,[30.44:1.0],[30.45:1.0],[30.48:1.0],[30.5:1.0],[30.5:1.0],[30.49:1.0],[30.5:1.0],[30.5:1.0],[30.508:1.0],[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],Prob:1.0
CSCO,200802041003,[24.4:1.0],[24.39:1.0],[24.37:1.0],[24.4:1.0],[24.43:1.0],[24.44:1.0],[24.4:1.0],[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],Prob:1.0
MSFT,200802041003,[30.45:1.0],[30.48:1.0],[30.5:1.0],[30.5:1.0],[30.49:1.0],[30.5:1.0],[30.5:1.0],[30.508:1.0],[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],Prob:1.0
CSCO,200802041004,[24.39:1.0],[24.37:1.0],[24.4:1.0],[24.43:1.0],[24.44:1.0],[24.4:1.0],[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],Prob:1.0
MSFT,200802041004,[30.48:1.0],[30.5:1.0],[30.5:1.0],[30.49:1.0],[30.5:1.0],[30.5:1.0],[30.508:1.0],[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],Prob:1.0
CSCO,200802041005,[24.37:1.0],[24.4:1.0],[24.43:1.0],[24.44:1.0],[24.4:1.0],[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],Prob:1.0
MSFT,200802041005,[30.5:1.0],[30.5:1.0],[30.49:1.0],[30.5:1.0],[30.5:1.0],[30.508:1.0],[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],Prob:1.0
CSCO,200802041006,[24.4:1.0],[24.43:1.0],[24.44:1.0],[24.4:1.0],[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],Prob:1.0
MSFT,200802041006,[30.5:1.0],[30.49:1.0],[30.5:1.0],[30.5:1.0],[30.508:1.0],[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],Prob:1.0
CSCO,200802041007,[24.43:1.0],[24.44:1.0],[24.4:1.0],[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],Prob:1.0
MSFT,200802041007,[30.49:1.0],[30.5:1.0],[30.5:1.0],[30.508:1.0],[30.54:1.0],[30.53:1.0],[30.537:1.0],[30.5288:1.0],[30.5:1.0],[30.42:1.0],[30.455:1.0],[30.5:1.0],[30.5:1.0],[30.4899:1.0],[30.5:1.0],[30.522:1.0],[30.51:1.0],[30.505:1.0],[30.5:1.0],[30.5:1.0],Prob:1.0
CSCO,200802041008,[24.44:1.0],[24.4:1.0],[24.36:1.0],[24.3:1.0],[24.227:1.0],[24.26:1.0],[24.29:1.0],[24.3:1.0],[24.34:1.0],[24.3:1.0],[24.29:1.0],[24.28:1.0],[24.2099:1.0],[24.18:1.0],[24.2:1.0],[24.2:1.0],[24.19:1.0],[24.18:1.0],[24.14:1.0],[24.1099:1.0],Prob:1.0
